,구,인구수,남성,여성,내국인,남성내국인,여성내국인,외국인,남성외국인,여성외국인,세대당인구,고령자,외국인비율,고령비율,여성비율
1,종로구,164640,80173,84467,155109,76155,78954,9531,4018,5513,2.11,26034,0.0578899416909621,0.1581268221574344,0.513040573372206
2,중구,134174,66064,68110,125332,62011,63321,8842,4053,4789,2.08,21249,0.06589950362961527,0.15836898355866263,0.5076244279815761
3,용산구,243922,119056,124866,228960,110838,118122,14962,8218,6744,2.14,36727,0.061339280589696704,0.1505686243963234,0.5119095448545027
4,성동구,312933,154253,158680,304879,150523,154356,8054,3730,4324,2.3,40902,0.025737138620727122,0.13070529474360326,0.5070733990982095
5,광진구,372414,180737,191677,357743,174534,183209,14671,6203,8468,2.23,43579,0.03939432996611298,0.1170176201753962,0.5146879548029881
6,동대문구,367769,182000,185769,352011,176022,175989,15758,5978,9780,2.2,55287,0.04284754832517151,0.1503307782874576,0.5051241404251038
7,중랑구,414554,206011,208543,410109,204232,205877,4445,1779,2666,2.29,58675,0.010722366688055115,0.14153765251330344,0.5030538844155406
8,성북구,458261,222474,235787,446457,217785,228672,11804,4689,7115,2.38,65937,0.02575824693788038,0.1438852531635902,0.5145255651255507
9,강북구,329042,160842,168200,325552,159528,166024,3490,1314,2176,2.29,56078,0.010606548708067664,0.17042809124671016,0.5111809434661837
10,도봉구,347338,170134,177204,345293,169388,175905,2045,746,1299,2.52,52909,0.005887636826376613,0.15232712804242554,0.5101774064455947
11,노원구,562278,273212,289066,558432,271619,286813,3846,1593,2253,2.56,73588,0.006840032866304568,0.13087476301758205,0.5140980084584493
12,은평구,491899,238733,253166,487507,236870,250637,4392,1863,2529,2.41,73850,0.00892866218471678,0.15013244588828195,0.5146706945938089
13,서대문구,326479,156070,170409,314182,151961,162221,12297,4109,8188,2.28,48985,0.03766551600562364,0.15004027824147956,0.5219600648127445
14,마포구,387776,184480,203296,376610,180037,196573,11166,4443,6723,2.22,49436,0.028794974418220827,0.12748597128238984,0.5242614292787589
15,양천구,476627,235246,241381,472730,233489,239241,3897,1757,2140,2.67,54598,0.008176204872992927,0.1145507912896248,0.5064358502560703
16,강서구,607877,296157,311720,601391,293024,308367,6486,3133,3353,2.38,75046,0.01066992171113564,0.12345589650537855,0.5128011094349679
17,구로구,443288,222088,221200,412972,205174,207798,30316,16914,13402,2.4,58260,0.06838894804280739,0.1314269729837036,0.49899839382072153
18,금천구,253646,129741,123905,235608,119738,115870,18038,10003,8035,2.23,33818,0.07111486086908526,0.1333275509962704,0.4884957775797765
19,영등포구,401908,202137,199771,368818,184060,184758,33090,18077,15013,2.21,53620,0.08233227504802094,0.1334136170466873,0.49705654030275587
20,동작구,410703,199978,210725,398501,194549,203952,12202,5429,6773,2.3,56902,0.029710033771362762,0.1385478070527851,0.5130836638641548
21,관악구,522849,263162,259687,505188,254784,250404,17661,8378,9283,1.98,69486,0.03377839490942892,0.13289879104674582,0.496676860814499
22,서초구,447177,214389,232788,442833,212189,230644,4344,2200,2144,2.55,52738,0.00971427421356644,0.11793540365448134,0.5205723907982746
23,강남구,565731,271093,294638,560827,268592,292235,4904,2501,2403,2.4,64579,0.008668430755959989,0.11415142532404977,0.520809359925477
24,송파구,668366,325253,343113,661750,322029,339721,6616,3224,3392,2.52,75301,0.009898768040265363,0.11266431865175668,0.5133609429564041
25,강동구,446760,221954,224806,442654,220064,222590,4106,1890,2216,2.47,55902,0.009190616886023815,0.12512758528068763,0.5031918703554481
