구,살인,강도,강간,절도,폭력,강간검거율,강도검거율,살인검거율,절도검거율,폭력검거율,인구수,검거,범죄
강남구,0.38461538461538464,1.0,1.0,1.0,1.0,80.03875968992247,100.0,100.0,53.4708670197937,88.13093453273363,557865,84.32811224848996,0.876923076923077
강동구,0.3076923076923077,0.358974358974359,0.31007751937984496,0.488988012266518,0.632183908045977,95.0,92.85714285714286,100.0,51.425313568985175,86.99604743083003,438225,85.25570077139162,0.4195832212718013
강북구,0.5384615384615384,0.1282051282051282,0.42054263565891475,0.34067465848898804,0.6941529235382309,73.27188940092167,80.0,85.71428571428571,54.99181669394435,89.34485241180705,327511,76.66456884419176,0.42440737687056007
강서구,0.6923076923076923,0.2564102564102564,0.5329457364341085,0.544187343183719,0.800599700149925,86.9090909090909,100.0,100.0,54.815573770491795,86.3920099875156,608361,85.62333493341967,0.5652901456971401
관악구,0.46153846153846156,0.3076923076923077,0.624031007751938,0.5862838026205743,0.8083458270864567,81.98757763975155,83.33333333333334,100.0,44.55539705183072,83.67851622874807,522292,78.71096485073274,0.5575782813379477
광진구,0.3076923076923077,0.28205128205128205,0.5406976744186046,0.734875940897686,0.5977011494252874,83.87096774193549,54.54545454545454,100.0,40.098634294385434,84.07190635451505,371671,72.51739258725812,0.49260367089703355
구로구,0.6923076923076923,0.2564102564102564,0.5290697674418605,0.5324783942012824,0.7906046976511744,66.30036630036629,100.0,100.0,45.07853403141361,84.70290771175726,440396,79.21636160870744,0.5601741616024531
금천구,0.46153846153846156,0.1794871794871795,0.3391472868217054,0.3523836074714246,0.547976011994003,81.71428571428572,100.0,100.0,51.74050632911392,88.73689010487917,253344,84.43833642965576,0.37610650946255475
노원구,0.38461538461538464,0.15384615384615385,0.3081395348837209,0.5177028157234458,0.6286856571714143,89.30817610062893,100.0,100.0,39.84921917070544,84.41971383147853,555803,82.71542182056258,0.3985979092480239
도봉구,0.23076923076923078,0.1282051282051282,0.23837209302325582,0.24142737663785893,0.3600699650174913,98.3739837398374,100.0,100.0,56.812933025404156,90.83969465648855,345041,89.20532228434601,0.239768758730593
동대문구,0.38461538461538464,0.2564102564102564,0.3682170542635659,0.5408419291887371,0.6601699150424788,83.15789473684211,100.0,100.0,55.206185567010316,89.96971990915974,364962,85.66676004260242,0.4420509079040846
동작구,0.6153846153846154,0.1794871794871795,0.6298449612403101,0.3417897964873153,0.41504247876061967,45.84615384615385,100.0,75.0,45.18760195758564,86.93558097531607,406715,70.59386735581111,0.436309806272008
마포구,0.3076923076923077,0.10256410256410256,0.7732558139534884,0.7044884304432674,0.7343828085957022,80.20050125313283,100.0,100.0,37.198258804907006,85.06294658046954,385624,80.49234132770188,0.5244766926497736
서대문구,0.46153846153846156,0.1282051282051282,0.3391472868217054,0.41901310287148036,0.49375312343828087,84.0,80.0,100.0,50.033266799733866,83.19838056680162,324871,79.44632947330709,0.3683314205750113
서초구,0.38461538461538464,0.3333333333333333,0.8294573643410853,0.6147198215779203,0.584207896051974,63.3177570093458,76.92307692307693,100.0,50.204081632653065,86.7835757057314,445164,75.44569825416144,0.5492667599839395
성동구,0.3076923076923077,0.07692307692307693,0.20155038759689922,0.36130471145804294,0.4045477261369315,75.0,100.0,100.0,69.1358024691358,86.96726374305128,314551,86.22061324243741,0.2704036419614516
성북구,0.3076923076923077,0.20512820512820512,0.29844961240310075,0.4098132143852802,0.526736631684158,75.97402597402598,100.0,75.0,49.31972789115646,86.29032258064517,453902,77.31681528916553,0.34956399425861034
송파구,0.6923076923076923,0.38461538461538464,0.45348837209302323,0.7089489824365766,0.8218390804597702,78.63247863247864,80.0,88.88888888888889,41.211167911915055,85.37549407114624,671994,74.82160590088577,0.6122399023824894
양천구,0.38461538461538464,0.1794871794871795,0.25387596899224807,0.47923055478115417,0.5622188905547226,82.44274809160305,100.0,100.0,43.92088423502037,85.24444444444444,473087,82.32161535421358,0.3718855956861378
영등포구,1.0,0.48717948717948717,0.689922480620155,0.6526345135210482,0.8978010994502749,63.20224719101124,73.68421052631578,100.0,40.153780435711234,83.69050932368495,403988,72.14614949534464,0.7455075161541931
용산구,0.3076923076923077,0.23076923076923078,0.48643410852713176,0.4151101198773348,0.5957021489255372,85.2589641434263,100.0,100.0,40.22834116856951,84.22818791946308,245411,81.94309864629177,0.4071415831583085
은평구,0.46153846153846156,0.23076923076923078,0.3023255813953488,0.46445497630331756,0.6656671664167916,91.02564102564102,77.77777777777779,100.0,53.421368547418965,86.63663663663664,490253,81.77228479749489,0.42495108328463005
종로구,0.46153846153846156,0.3076923076923077,0.46124031007751937,0.5408419291887371,0.5654672663668165,74.36974789915966,75.0,33.33333333333333,39.58762886597938,87.36190897039329,164348,61.93052381377313,0.4673560549727684
중구,0.23076923076923078,0.20512820512820512,0.38372093023255816,0.59938667410092,0.5559720139930034,74.74747474747475,87.5,100.0,42.51162790697675,89.70786516853933,135139,78.89339356459817,0.39499541084478346
중랑구,0.6153846153846154,0.358974358974359,0.3178294573643411,0.47142458879286314,0.7906046976511744,91.46341463414635,100.0,87.5,62.211709047900655,85.71428571428571,411552,85.37788187926654,0.5108435436334706
